Place_Id,Place_Name,Description,Category,City,Price,Rating,Transportasi,Fasilitas,Jumlah Ulasan
1,Wisata Bahari Lamongan,"Wisata Bahari Lamongan merupakan taman hiburan keluarga yang terletak di pesisir utara Lamongan. WBL menawarkan wahana permainan, edukasi, dan wisata bahari seperti kolam renang, rumah kaca, dan zona permainan air. Cocok untuk rekreasi bersama keluarga.",Themepark,Lamongan,145000,4.6,"mobil, sepeda motor, bus,만lf","Akses pantai dengan area parkir, Warung dan kios makanan, Restoran dan kafe, Fasilitas olahraga air seperti jet ski dan banana boat, Area bermain anak-anak, Toilet dan mushola, Tempat penyewaan peralatan snorkeling, Pusat informasi wisata","4,812"
2,Maharani zoo & goa,"Objek wisata ini menggabungkan kebun binatang dan gua alami. Maharani Zoo memiliki berbagai koleksi hewan eksotis, sementara Maharani Goa menawarkan keindahan stalaktit dan stalagmit. Tempat ini cocok untuk pecinta alam dan edukasi keluarga.",Edukasi,Lamongan,40000,4.5,"mobil, sepeda motor, bus,만lf","Kebun binatang mini dengan lebih dari 400 jenis satwa, Goa stalagmit dan stalaktit untuk dijelajahi, Area museum dan galeri satwa, Wahana interaktif seperti safari car dan sepeda udara, Playground anak-anak, Area parkir luas, Mushola, Toilet umum, Warung makanan dan minuman, Area foto bersama satwa","2,810"
3,Tanjung kodok,"Tanjung Kodok adalah kawasan pantai yang memiliki batu besar berbentuk menyerupai kodok. Kini, area ini menjadi bagian dari Wisata Bahari Lamongan, menawarkan pemandangan laut yang indah dan suasana pantai yang menenangkan.",Alam,Lamongan,100000,4.4,"mobil, sepeda motor, bus,만lf","karaoke, gym, fasilitas rapat, restoran, penyewaan sepeda, hingga kolam renang outdoor",4153
4,Masjid Namira,"Masjid Namira adalah masjid modern yang terkenal dengan desain interior yang megah dan suasana nyaman untuk beribadah. Terletak di Lamongan, masjid ini sering menjadi tujuan wisata religi bagi umat Islam.",Religi,Lamongan,0,4.8,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang ibadah yang luas, Mihrab dan mimbar, Area wudhu terpisah, Tempat duduk untuk jamaah, Perlengkapan ibadah (sajadah, tasbih)","19,368"
5,Alun-alun Lamongan,"Sebagai pusat kota, Alun-Alun Lamongan menjadi tempat rekreasi masyarakat lokal dengan berbagai fasilitas, seperti taman bermain, tempat bersantai, dan aneka kuliner khas Lamongan.",Olahraga,Lamongan,0,4.5,"mobil, sepeda motor, bus,만lf","Area bermain dan jogging track, Warung dan kios makanan khas Lamongan, Area berkumpul dan pendopo, Fasilitas olahraga seperti lapangan futsal, Toilet umum, Lampu penerangan untuk kegiatan malam, Area hijau dan taman","17,587"
6,Masjid Agung Lamongan,"Masjid ini merupakan ikon religi di Lamongan, dengan arsitektur yang megah dan bersejarah. Masjid Agung sering menjadi lokasi kegiatan keagamaan besar di kota ini.",Religi,Lamongan,0,4.8,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang ibadah utama dan mezzanine, Mihrab dan mimbar, Area wudhu terpisah, Tempat duduk untuk jamaah, Mushola tambahan, Perlengkapan ibadah (sajadah, tasbih), Pusat kegiatan keagamaan",924
7,Wego Lamongan,"Wego menawarkan wisata edukasi dan outbond, cocok untuk kegiatan belajar di alam terbuka. Tempat ini menyediakan aktivitas seperti flying fox, kolam renang, dan fasilitas outbond lainnya.",Alam,Lamongan,25000,4,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang tunggu dan informasi wisata, Restoran dan kafe, Kios souvenir, Fasilitas toilet, Area bermain anak, Pusat informasi transportasi","3,380"
8,Makam Sunan Drajat,Makam Sunan Drajat adalah tempat ziarah terkenal di Lamongan. Sunan Drajat adalah salah satu Walisongo yang berjasa dalam penyebaran Islam di Jawa. Area ini juga memiliki museum kecil tentang perjuangan dakwah Sunan Drajat.,Religi,Lamongan,10000,4.7,"mobil, sepeda motor, bus,만lf","Area parkir, Kompleks makam dan taman, Masjid pendamping, Area wudhu, Tempat duduk untuk pengunjung, Warung makanan dan minuman","1,425"
9,Makam maulana Ishaq,Maulana Ishaq dikenal sebagai ulama besar dan ayah dari Sunan Giri. Makamnya menjadi tempat ziarah religi yang dihormati di Lamongan.,Religi,Lamongan,0,4.7,"mobil, sepeda motor, bus,만lf","Area parkir, Kompleks makam dan taman, Masjid pendamping, Area wudhu, Tempat duduk untuk pengunjung, Warung makanan dan minuman","2,881"
10,Museum Drajat,"Terletak di kompleks makam Sunan Drajat, museum ini menyimpan artefak sejarah dan benda-benda peninggalan Sunan Drajat, seperti gamelan, kitab kuno, dan barang-barang terkait penyebaran Islam di Lamongan.",Edukasi,Lamongan,0,4.3,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang pameran artefak sejarah dan agama, Ruang interaktif edukasi, Pusat informasi wisata, Area souvenir, Toilet umum, Ruang audiensi dan presentasi",479
11,Makam joko Tingkir,"Makam ini merupakan tempat peristirahatan terakhir Joko Tingkir, seorang tokoh besar dalam sejarah kerajaan Pajang. Tempat ini menjadi tujuan ziarah sejarah dan religi.",Religi,Lamongan,0,4.4,"mobil, sepeda motor, bus,만lf","Area parkir, Kompleks makam dan taman, Masjid pendamping, Area wudhu, Tempat duduk untuk pengunjung, Warung makanan dan minuman, Pusat informasi sejarah",78
12,Indonesia islamic art museum,"Museum ini menampilkan berbagai koleksi seni dan sejarah Islam di Indonesia, termasuk manuskrip kuno, pakaian tradisional, dan artefak budaya yang menunjukkan perkembangan Islam di Nusantara.",Edukasi,Lamongan,0,4.5,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang pameran seni Islam, Galeri interaktif, Ruang edukasi dan workshop, Area souvenir, Toilet umum, Ruang audiensi dan presentasi",67
13,Pantai Putri Klayar,Pantai ini menawarkan pemandangan yang indah dengan pasir putih dan suasana tenang. Lokasinya cocok untuk bersantai atau piknik bersama keluarga.,Alam,Lamongan,10000,4.4,"mobil, sepeda motor, bus,만lf","Area parkir, Warung dan kios makanan, Fasilitas olahraga air seperti banana boat dan jetski, Area bermain anak-anak, Toilet umum, Mushola, Tempat penyewaan peralatan snorkeling, Spot foto instagramable",309
14,Pantai kutang,"Pantai Kutang memiliki keunikan berupa akar-akar mangrove yang mencuat dari pasir. Nama ""Kutang"" berasal dari cerita lokal dan menjadi daya tarik tersendiri.",Alam,Lamongan,10000,4.2,"mobil, sepeda motor, bus,만lf","Area parkir, Warung makan dan kios jajanan, Fasilitas olahraga air, Toilet dan mushola, Tempat duduk dan beristirahat, Area bermain anak-anak",796
15,Pantai lorena,"Pantai ini terkenal dengan keindahan matahari terbenamnya. Suasananya sepi, cocok untuk pengunjung yang mencari ketenangan.",Alam,Lamongan,10000,4.3,"mobil, sepeda motor, bus,만lf","Area parkir, Warung makanan dan minuman, Fasilitas olahraga air seperti banana boat dan jetski, Toilet umum, Mushola, Tempat penyewaan peralatan snorkeling, Area bermain anak-anak","1,998"
16,Pantai joko mursodo,Pantai ini dikenal dengan suasana alami dan pemandangan laut birunya. Lokasinya cocok untuk fotografi atau sekadar menikmati angin pantai.,Alam,Lamongan,10000,4.3,"mobil, sepeda motor, bus,만lf","Area parkir, Warung dan kios makanan, Fasilitas olahraga air, Toilet dan Mushola, Tempat duduk dan beristirahat, Area bermain anak-anak",91
17,Pantai maldives kemantren,"Pantai ini disebut ""Maldives""-nya Lamongan karena memiliki suasana tropis dan air yang jernih, cocok untuk rekreasi keluarga.",Alam,Lamongan,10000,4.4,"mobil, sepeda motor, bus,만lf","Area parkir, Warung makan dan kios jajanan, Fasilitas olahraga air, Toilet umum, Mushola, Spot foto instagramable, Tempat penyewaan peralatan snorkeling",653
18,Istana gunung mas 27,Istana Gunung Mas adalah restoran dan tempat wisata yang menawarkan pemandangan indah serta fasilitas makan dengan konsep tradisional dan modern.,Alam,Lamongan,0,4.1,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang pameran dan galeri, Ruang audiensi, Toilet umum, Area taman dan taman bermain, Tempat duduk untuk pengunjung",749
19,Waduk gondang,Waduk ini adalah tempat wisata alam sekaligus sumber irigasi bagi masyarakat sekitar. Waduk Gondang sering dijadikan lokasi piknik atau memancing.,Alam,Lamongan,0,4.1,"mobil, sepeda motor, bus,만lf","Area parkir, Pusat informasi, Tempat duduk dan beristirahat, Area piknik, Spot foto, Fasilitas olahraga seperti jogging track",297
20,Makam sunan Sendang,"Makam ini adalah salah satu tempat ziarah penting di Lamongan, tempat peristirahatan seorang ulama besar yang dikenal berjasa dalam penyebaran Islam.",Religi,Lamongan,0,4.6,"mobil, sepeda motor, bus,만lf","Area parkir, Kompleks makam dan taman, Masjid pendamping, Area wudhu, Tempat duduk untuk pengunjung, Warung makanan dan minuman",202
21,Bathil,Bathil adalah kawasan pelabuhan tradisional yang menunjukkan kehidupan nelayan lokal dan menjadi pusat aktivitas perahu tradisional.,Kuliner,Lamongan,5000,4.3,"mobil, sepeda motor, bus,만lf","Area parkir, Tempat duduk untuk pengunjung, Warung makanan dan minuman",888
22,Keraton bbj babat,Keraton ini merupakan tempat bersejarah yang menyimpan kisah-kisah tradisional Lamongan dan menjadi simbol kebudayaan lokal.,Belanja,Lamongan,0,3.9,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang pameran artefak kerajaan, Ruang audiensi dan presentasi, Galeri seni, Toilet umum, Area taman dan Spot foto, Tempat souvenir","2,502"
23,Makam dewi serdadu,Makam ini memiliki nilai sejarah dan dipercaya sebagai tempat istirahat terakhir seorang tokoh wanita legendaris di Lamongan.,Religi,Lamongan,0,4.6,"mobil, sepeda motor, bus,만lf","Area parkir, Kompleks makam dan taman, Masjid pendamping, Area wudhu, Tempat duduk untuk pengunjung, Warung makanan dan minuman",120
24,Pantai lohgung brondong,Pantai ini menawarkan keindahan alam dan suasana pantai yang asri. Cocok untuk bersantai dan menikmati angin laut.,Alam,Lamongan,0,4.4,"mobil, sepeda motor, bus,만lf","Area parkir, Warung makan dan kios jajanan, Fasilitas olahraga air, Toilet umum, Mushola, Tempat duduk dan beristirahat, Spot foto instagramable",80
25,Makam nyi andong sari,"Makam ini adalah tempat ziarah yang berhubungan dengan kisah tokoh perempuan lokal dalam sejarah Lamongan.
",Religi,Lamongan,0,4.3,"mobil, sepeda motor, bus,만lf","Area parkir, Kompleks makam dan taman, Masjid pendamping, Area wudhu, Tempat duduk untuk pengunjung, Warung makanan dan minuman",38
26,Cafe Aola,"Cafe Aola adalah tempat nongkrong yang nyaman dengan pemandangan alam. Menyajikan aneka makanan dan minuman, cocok untuk bersantai bersama teman atau keluarga.",Alam&Kuliner,Lamongan,25000,4.2,"mobil, sepeda motor, bus,만lf","Area parkir, Ruang makan indoor dan outdoor, Wi-Fi gratis, Restoran dan kafe dengan berbagai menu, AC dan ventilasi yang nyaman, Area bermain anak, Toilet umum, Tempat duduk yang nyaman, Sistem pemesanan online",2120
